model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2310.06825,papers_2402.16819,0.695,0.728,-0.033,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2402.16819,papers_2403.17297,0.728,0.695,0.033,5,unknown,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-72B,MBPP,papers_2407.10671,papers_2505.09388,0.769,0.802,-0.033,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2402.16819,papers_2405.19327,0.728,0.6953,0.0327,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.15166,papers_2405.19327,0.6078,0.6404,-0.0326,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2302.13971,papers_2405.19327,0.029,0.0614,-0.0324,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2309.16609,papers_2405.19327,0.029,0.0614,-0.0324,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2312.15166,papers_2401.04088,0.8763,0.844,0.0323,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.15166,papers_2403.17297,0.6078,0.64,-0.0322,5,5,lm-evaluation-harness,opencompass,,
mistralai/Mixtral-8x7B-v0.1,MBPP,papers_2401.04088,papers_2407.10671,0.607,0.639,-0.032,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MBPP,papers_2401.04088,papers_2412.15115,0.607,0.639,-0.032,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,HellaSwag,papers_2310.06825,papers_2403.17297,0.807,0.775,0.032,10,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,ARC-Easy,papers_2401.04088,papers_2403.08295,0.805,0.773,0.032,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Easy,papers_2403.08295,papers_2408.00118,0.773,0.805,-0.032,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2408.00118,0.753,0.785,-0.032,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,MATH,papers_2407.10671,papers_2505.09388,0.107,0.139,-0.032,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.17297,papers_2408.00118,0.753,0.785,-0.032,unknown,5,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2403.08295,papers_2403.17297,0.772,0.74,0.032,10,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-13b-hf,HellaSwag,papers_2401.04088,papers_2403.17297,0.807,0.775,0.032,10,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2402.16819,papers_2408.00118,0.753,0.785,-0.032,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen1.5-7B,GPQA,hfopenllm_v2,papers_2407.10671,0.2987,0.267,0.0317,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
Qwen/Qwen2-1.5B,GSM8K,papers_2407.10671,papers_2505.09388,0.585,0.616,-0.031,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2407.10671,0.753,0.784,-0.031,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2310.06825,papers_2403.17297,0.771,0.74,0.031,10,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2412.15115,0.753,0.784,-0.031,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,GSM8K,papers_2409.12122,papers_2505.09388,0.585,0.616,-0.031,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2407.10671,papers_2408.00118,0.293,0.262,0.031,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2402.16819,papers_2403.17297,0.305,0.274,0.031,0,0,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2403.08295,papers_2403.17297,0.257,0.288,-0.031,unknown,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2408.00118,papers_2412.15115,0.262,0.293,-0.031,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.17297,papers_2412.15115,0.753,0.784,-0.031,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2403.17297,0.305,0.274,0.031,0,0,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2401.04088,papers_2403.17297,0.771,0.74,0.031,10,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2403.08295,0.177,0.208,-0.031,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2402.16819,papers_2412.15115,0.753,0.784,-0.031,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.05463,papers_2309.16609,0.208,0.177,0.031,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2402.16819,papers_2407.10671,0.753,0.784,-0.031,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.17297,papers_2407.10671,0.753,0.784,-0.031,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2405.19327,papers_2408.00118,0.1574,0.127,0.0304,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2401.04088,papers_2405.19327,0.127,0.1574,-0.0304,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MATH,papers_2409.12122,papers_2505.09388,0.511,0.4807,0.0303,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MATH,papers_2409.12122,papers_2412.15115,0.511,0.4807,0.0303,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3.1-405B,MMLU,papers_2407.21783,papers_2505.09388,0.832,0.862,-0.03,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2310.06825,papers_2405.19327,0.261,0.291,-0.03,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2412.15115,papers_2505.09388,0.703,0.673,0.03,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3.1-405B,MMLU,papers_2407.21783,papers_2412.15115,0.832,0.862,-0.03,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo-0613,NarrativeQA,helm_classic,helm_lite,0.625,0.655,-0.03,,,helm,helm,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2312.06550,papers_2405.19327,0.438,0.468,-0.03,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,ARC-Challenge,papers_2408.00118,papers_2408.12570,0.714,0.684,0.03,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2401.04088,papers_2405.19327,0.261,0.291,-0.03,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2407.10671,papers_2505.09388,0.703,0.673,0.03,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2310.06825,papers_2403.17297,0.116,0.146,-0.03,0,0,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2312.06550,papers_2403.17297,0.438,0.468,-0.03,5,5,lm-evaluation-harness,opencompass,,
google/gemma-7b,GPQA,hfopenllm_v2,papers_2407.10671,0.2869,0.257,0.0299,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2312.15166,papers_2401.04088,0.7719,0.742,0.0299,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,GPQA,hfopenllm_v2,papers_2505.09388,0.3943,0.424,-0.0297,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2312.06550,papers_2402.16819,0.7774,0.807,-0.0296,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2312.06550,papers_2408.00118,0.2912,0.262,0.0292,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,HumanEval,papers_2303.08774,papers_2309.16609,0.67,0.699,-0.029,0,0,openai_evals,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2310.06825,papers_2412.15115,0.131,0.102,0.029,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2405.19327,0.105,0.134,-0.029,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,HumanEval,papers_2309.16609,papers_2406.12793,0.699,0.67,0.029,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2407.10671,papers_2412.15115,0.131,0.102,0.029,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2403.17297,papers_2405.19327,0.033,0.0614,-0.0284,4,unknown,opencompass,lm-evaluation-harness,,
openai/GPT-Neo-2.7B,ARC-Challenge,papers_2309.05463,papers_2312.00752,0.274,0.302,-0.028,25,25,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,PIQA,papers_2307.09288,papers_2404.05892,0.767,0.795,-0.028,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
internlm/internlm2-7b,BBH,hfopenllm_v2,papers_2403.17297,0.5825,0.555,0.0275,3,3,lighteval,opencompass,lighteval/bbh,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2403.17297,papers_2405.19327,0.74,0.7127,0.0273,unknown,10,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.15166,papers_2501.00656,0.6078,0.635,-0.0272,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,LiveCodeBench,papers_2407.10671,papers_2505.09388,0.266,0.239,0.027,unknown,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,LiveCodeBench,papers_2407.10671,papers_2412.15115,0.266,0.239,0.027,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,MATH,papers_2412.15115,papers_2505.09388,0.112,0.139,-0.027,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2409.12122,papers_2412.15115,0.676,0.703,-0.027,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2302.13971,papers_2402.16819,0.701,0.728,-0.027,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2401.04088,papers_2403.08295,0.432,0.459,-0.027,25,25,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,PIQA,papers_2307.09288,papers_2309.05463,0.767,0.794,-0.027,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2310.06825,papers_2401.04088,0.475,0.502,-0.027,3,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2401.04088,papers_2403.17297,0.502,0.475,0.027,3,3,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-7B,MMLU,papers_2407.10671,papers_2409.12122,0.703,0.676,0.027,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2310.06825,papers_2403.17297,0.261,0.288,-0.027,3,3,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2310.06825,papers_2403.08295,0.432,0.459,-0.027,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2401.04088,papers_2403.17297,0.261,0.288,-0.027,3,3,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-1.5B,MBPP,papers_2412.15115,papers_2505.09388,0.469,0.442,0.027,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Easy,papers_2310.06825,papers_2403.08295,0.8,0.773,0.027,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Easy,papers_2402.16819,papers_2403.08295,0.8,0.773,0.027,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
allenai/OLMo-7B,GSM8K,papers_2402.00838,papers_2405.19327,0.085,0.0584,0.0266,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2405.19327,papers_2407.10671,0.1574,0.131,0.0264,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2310.06825,papers_2405.19327,0.131,0.1574,-0.0264,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.06550,papers_2403.08295,0.8331,0.807,0.0261,10,10,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MMLU,helm_lite,papers_2307.09288,0.288,0.262,0.026,,5,helm,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.08295,papers_2412.15115,0.807,0.833,-0.026,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,WinoGrande,papers_2403.17297,papers_2501.00656,0.723,0.749,-0.026,unknown,5,opencompass,lm-evaluation-harness,,
Qwen/Qwen2-72B,MMLU,papers_2412.15115,papers_2505.09388,0.842,0.816,0.026,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,GSM8K,papers_2309.16609,papers_2403.17297,0.808,0.782,0.026,8,8,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-72B,MMLU,papers_2407.10671,papers_2505.09388,0.842,0.816,0.026,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta/llama-2-70b,Mean win rate,helm_lite,helm_mmlu,0.482,0.508,-0.026,,,helm,helm,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2312.06550,0.105,0.1305,-0.0255,0,0,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/Falcon-7B,TruthfulQA,helm_classic,papers_2308.12950,0.234,0.2595,-0.0255,,unknown,helm,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2405.19327,0.5,0.4746,0.0254,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,GPQA,hfopenllm_v2,papers_2407.10671,0.31715000000000004,0.292,0.02515,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2402.16819,papers_2405.19327,0.305,0.28,0.025,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2403.17297,0.5,0.475,0.025,8,8,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2402.16819,papers_2403.08295,0.753,0.728,0.025,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.08295,papers_2407.10671,0.807,0.832,-0.025,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2401.04088,papers_2412.15115,0.127,0.102,0.025,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2309.05463,papers_2403.08295,0.434,0.459,-0.025,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2403.08295,0.753,0.728,0.025,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2402.16819,papers_2404.05892,0.83,0.805,0.025,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,MBPP,papers_2412.15115,papers_2505.09388,0.571,0.546,0.025,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2408.00118,papers_2412.15115,0.127,0.102,0.025,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2310.06825,papers_2403.08295,0.83,0.805,0.025,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.08295,papers_2403.17297,0.728,0.753,-0.025,5,unknown,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-7B,GPQA,papers_2407.10671,papers_2505.09388,0.318,0.343,-0.025,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2402.16819,papers_2403.08295,0.83,0.805,0.025,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2310.06825,papers_2404.05892,0.83,0.805,0.025,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2405.19327,0.305,0.28,0.025,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2401.04088,papers_2403.17297,0.844,0.819,0.025,10,unknown,lm-evaluation-harness,opencompass,,
Qwen/CodeQwen1.5-7B-Chat,HumanEval,papers_2409.12186,papers_2411.04905,0.835,0.86,-0.025,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen1.5-0.5B,IFEval,hfopenllm_v2,papers_2407.10671,0.1706,0.146,0.0246,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
mistralai/Mixtral-8x7B-v0.1,MATH,papers_2401.04088,papers_2407.10671,0.284,0.308,-0.024,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2310.06825,papers_2403.17297,0.444,0.468,-0.024,5,5,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2402.16819,0.625,0.601,0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2408.00118,0.601,0.625,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2402.16819,papers_2403.17297,0.813,0.789,0.024,10,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2310.06825,papers_2403.17297,0.813,0.789,0.024,10,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2302.13971,papers_2403.08295,0.728,0.752,-0.024,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2310.06825,papers_2403.08295,0.288,0.312,-0.024,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2501.00656,0.753,0.777,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2310.06825,papers_2405.19327,0.444,0.468,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.17297,papers_2501.00656,0.753,0.777,-0.024,unknown,5,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2401.04088,0.601,0.625,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2402.16819,papers_2501.00656,0.753,0.777,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,HumanEval,papers_2402.19173,papers_2403.17297,0.213,0.189,0.024,unknown,0,bigcode-evaluation-harness,opencompass,,
meta-llama/Llama-2-13b-hf,HumanEval,papers_2310.06825,papers_2402.19173,0.189,0.213,-0.024,0,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2408.00118,0.601,0.625,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2401.04088,papers_2405.19327,0.444,0.468,-0.024,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2401.04088,papers_2403.17297,0.444,0.468,-0.024,5,5,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2312.06550,0.177,0.2009,-0.0239,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2311.11045,papers_2403.04652,0.8061,0.83,-0.0239,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,GPQA,hfopenllm_v2,papers_2505.09388,0.2609,0.237,0.0239,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,BBH,hfopenllm_v2,papers_2403.08295,0.3496,0.326,0.0236,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.06550,papers_2404.05892,0.8331,0.81,0.0231,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.06550,papers_2401.04088,0.8331,0.81,0.0231,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2401.04088,papers_2412.15115,0.81,0.833,-0.023,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2403.04652,0.425,0.402,0.023,unknown,4,unknown,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2404.05892,papers_2412.15115,0.81,0.833,-0.023,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2309.05463,0.105,0.128,-0.023,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2403.08295,0.105,0.128,-0.023,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2310.06825,papers_2403.17297,0.288,0.311,-0.023,unknown,unknown,lm-evaluation-harness,opencompass,,
tiiuae/falcon-7b,HellaSwag,papers_2307.09288,papers_2404.05892,0.741,0.764,-0.023,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.08295,papers_2408.00118,0.807,0.83,-0.023,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2309.16609,0.105,0.128,-0.023,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2401.04088,papers_2403.19887,0.844,0.867,-0.023,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
unknown/MPT,GSM8K,papers_2307.09288,papers_2309.16609,0.068,0.091,-0.023,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2401.04088,papers_2405.19327,0.039,0.0614,-0.0224,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2310.06825,papers_2405.19327,0.039,0.0614,-0.0224,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2401.04088,papers_2407.10671,0.81,0.832,-0.022,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2310.06825,papers_2401.04088,0.522,0.5,0.022,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2407.10671,0.5,0.522,-0.022,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2404.05892,papers_2407.10671,0.81,0.832,-0.022,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen1.5-32B,GPQA,hfopenllm_v2,papers_2407.10671,0.3297,0.308,0.0217,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
Qwen/Qwen1.5-32B,GPQA,hfopenllm_v2,papers_2412.15115,0.3297,0.308,0.0217,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
